energy_level,total_missions,easy_count,medium_count,hard_count,current_streak,target_growth
2,27,18,6,3,8,0.4553
1,15,5,3,7,3,0.2640
2,14,4,0,10,22,0.3827
3,21,5,12,4,28,0.5207
2,31,9,14,8,12,0.5740
1,23,12,7,4,29,0.5453
1,15,0,13,2,5,0.2773
2,31,11,10,10,23,0.6473
2,11,2,2,7,15,0.2860
3,21,9,11,1,12,0.4000
1,31,19,3,9,6,0.5160
1,26,5,12,9,14,0.5173
1,21,12,5,4,29,0.5133
1,24,7,8,9,22,0.5347
1,21,6,11,4,30,0.5320
1,28,16,6,6,10,0.4947
1,21,4,7,10,6,0.3880
2,36,17,12,7,19,0.6827
1,18,5,3,10,0,0.2980
3,25,14,8,3,18,0.4980
1,19,8,5,6,27,0.4800
2,19,6,4,9,8,0.3633
2,28,12,12,4,9,0.4920
2,16,1,10,5,28,0.4507
1,38,20,11,7,3,0.6020
3,31,15,9,7,21,0.6200
2,29,17,10,2,5,0.4673
3,26,13,11,2,3,0.4140
3,22,3,13,6,11,0.4313
3,28,17,2,9,18,0.5520
1,17,2,14,1,18,0.3900
1,26,11,6,9,6,0.4520
1,31,19,5,7,12,0.5520
2,23,16,7,0,5,0.3693
2,9,1,6,2,25,0.3127
3,12,5,6,1,16,0.2907
3,7,1,0,6,16,0.2287
3,26,9,8,9,8,0.4693
2,22,11,6,5,28,0.5267
2,22,1,15,6,18,0.4820
1,18,10,3,5,13,0.3647
3,11,7,2,2,0,0.1660
1,18,10,5,3,28,0.4607
2,20,7,8,5,16,0.4227
3,33,17,15,1,19,0.6227
1,20,7,6,7,6,0.3600
1,26,12,8,6,22,0.5507
1,21,7,14,0,23,0.4753
3,33,15,15,3,0,0.5040
2,30,15,8,7,6,0.5040
1,12,3,2,7,10,0.2667
3,16,4,12,0,3,0.2680
1,23,6,15,2,25,0.5267
1,14,4,2,8,8,0.2853
2,31,19,9,3,11,0.5373
1,27,11,8,8,7,0.4727
2,24,18,1,5,1,0.3647
2,23,12,11,0,29,0.5373
2,20,13,0,7,9,0.3680
3,4,3,1,0,6,0.0980
2,24,8,12,4,3,0.3960
2,11,8,2,1,1,0.1687
2,15,4,5,6,23,0.3973
1,6,2,1,3,20,0.2313
1,36,12,15,9,25,0.7367
3,13,3,9,1,19,0.3307
1,22,10,7,5,30,0.5420
2,17,14,3,0,23,0.3973
3,24,15,4,5,3,0.3840
1,21,6,6,9,27,0.5220
1,9,0,1,8,0,0.1600
1,32,7,15,10,19,0.6447
2,15,3,9,3,9,0.3000
3,34,14,10,10,9,0.5960
2,19,18,1,0,10,0.3347
3,17,1,7,9,21,0.4280
1,18,4,10,4,4,0.3147
3,17,9,8,0,19,0.3807
2,10,3,6,1,21,0.2960
3,16,6,9,1,30,0.4460
1,14,7,0,7,6,0.2640
3,22,13,7,2,14,0.4233
2,12,1,1,10,22,0.3567
2,18,5,7,6,30,0.4900
2,8,5,1,2,3,0.1420
1,25,4,14,7,6,0.4460
2,33,19,12,2,9,0.5540
3,8,6,1,1,29,0.3113
1,13,4,5,4,7,0.2547
2,30,13,15,2,5,0.4913
2,25,18,0,7,4,0.4047
3,23,13,4,6,15,0.4540
3,32,17,9,6,30,0.6900
3,23,6,13,4,27,0.5440
3,22,4,9,9,22,0.5087
1,36,17,11,8,29,0.7513
3,32,15,14,3,0,0.4880
2,29,20,6,3,23,0.5833
3,22,6,7,9,9,0.4180
3,22,13,1,8,26,0.5153
1,7,0,3,4,21,0.2600
2,24,3,12,9,26,0.5693
1,23,5,9,9,5,0.4093
2,20,2,13,5,2,0.3393
1,14,1,11,2,25,0.3927
2,12,1,6,5,3,0.2200
2,12,0,12,0,1,0.1987
3,19,6,4,9,15,0.4100
1,23,14,4,5,17,0.4633
3,34,19,9,6,28,0.7047
3,18,5,4,9,13,0.3827
1,21,17,2,2,8,0.3593
1,15,11,3,1,8,0.2733
1,28,6,15,7,27,0.6300
2,16,10,1,5,14,0.3393
2,34,16,12,6,5,0.5573
1,6,3,1,2,30,0.2940
1,27,7,10,10,0,0.4380
2,18,3,6,9,24,0.4600
1,22,4,15,3,5,0.3833
3,24,10,14,0,0,0.3640
2,10,7,0,3,29,0.3453
3,11,2,0,9,10,0.2567
2,19,12,2,5,1,0.2967
2,15,13,1,1,20,0.3493
1,19,5,5,9,13,0.3987
3,26,19,1,6,12,0.4700
1,35,14,15,6,21,0.6840
3,31,18,6,7,20,0.6073
2,21,1,13,7,26,0.5213
3,24,7,15,2,12,0.4540
1,23,15,2,6,24,0.5100
3,21,8,8,5,13,0.4167
1,6,0,4,2,10,0.1667
2,26,4,15,7,22,0.5687
3,15,9,6,0,23,0.3753
1,20,13,5,2,21,0.4380
3,16,3,13,0,5,0.2833
3,25,12,4,9,26,0.5673
2,42,20,15,7,17,0.7593
2,15,1,14,0,25,0.4047
3,17,1,7,9,21,0.4280
3,22,19,0,3,25,0.4867
2,18,8,3,7,29,0.4793
3,12,7,3,2,19,0.3087
1,15,7,5,3,19,0.3587
3,21,14,7,0,11,0.3813
2,21,10,4,7,19,0.4567
3,38,20,9,9,16,0.6927
2,28,16,8,4,30,0.6240
2,28,12,10,6,9,0.4960
2,28,9,14,5,22,0.5867
3,18,11,0,7,23,0.4333
1,15,3,5,7,3,0.2680
2,25,17,2,6,12,0.4580
3,17,3,5,9,13,0.3707
2,19,5,7,7,10,0.3747
2,32,17,14,1,16,0.5867
2,24,18,5,1,17,0.4633
3,15,7,6,2,25,0.3967
2,11,5,1,5,26,0.3493
3,21,19,2,0,26,0.4713
3,33,16,7,10,17,0.6293
2,23,12,5,6,2,0.3693
1,17,5,12,0,6,0.3020
3,29,11,10,8,6,0.4980
2,34,20,10,4,12,0.5920
3,32,16,14,2,4,0.5107
2,11,0,2,9,19,0.3207
2,19,5,5,9,1,0.3187
3,23,14,9,0,5,0.3733
2,31,13,11,7,3,0.5040
2,29,11,13,5,16,0.5587
1,21,11,0,10,18,0.4540
2,40,16,15,9,21,0.7660
3,25,2,13,10,6,0.4560
3,23,2,14,7,4,0.4047
1,22,13,8,1,27,0.5080
3,29,14,8,7,11,0.5233
2,27,15,9,3,1,0.4147
2,16,6,8,2,3,0.2680
3,35,20,9,6,22,0.6787
1,22,18,2,2,30,0.5200
3,19,13,4,2,15,0.3820
1,25,10,9,6,0,0.3920
1,20,0,15,5,13,0.4167
3,16,9,3,4,29,0.4393
2,30,14,14,2,4,0.4827
2,22,9,13,0,25,0.5007
1,23,11,11,1,26,0.5213
2,31,17,10,4,24,0.6300
2,23,14,6,3,5,0.3793
1,26,12,12,2,24,0.5560
2,26,18,2,6,2,0.4053
2,36,17,12,7,30,0.7560
2,18,12,3,3,30,0.4700
1,28,19,5,4,16,0.5247
1,40,17,14,9,8,0.6773
3,25,13,7,5,24,0.5440
2,15,7,8,0,7,0.2727
2,31,10,13,8,16,0.5987
3,37,20,9,8,6,0.6080
2,17,13,2,2,21,0.3900
1,19,14,1,4,8,0.3373
2,26,5,12,9,23,0.5773
3,31,12,12,7,19,0.6127
3,21,5,11,5,21,0.4760
3,27,8,9,10,21,0.5760
1,18,8,2,8,19,0.4147
3,38,19,12,7,10,0.6507
1,29,12,14,3,7,0.4927
1,37,19,15,3,20,0.6933
2,27,8,13,6,3,0.4480
1,20,7,4,9,5,0.3573
2,8,6,0,2,14,0.2133
2,19,8,9,2,29,0.4853
2,18,5,12,1,29,0.4733
3,32,17,9,6,22,0.6367
3,23,13,4,6,0,0.3540
1,30,14,8,8,1,0.4747
3,10,6,2,2,1,0.1587
3,29,12,13,4,12,0.5280
3,23,12,6,5,10,0.4207
1,28,19,9,0,16,0.5167
1,26,18,8,0,25,0.5467
1,21,0,13,8,5,0.3853
3,20,1,13,6,29,0.5233
1,27,9,11,7,28,0.6147
1,34,17,15,2,0,0.5140
3,34,15,14,5,23,0.6773
3,20,16,2,2,27,0.4720
2,10,0,4,6,5,0.2053
3,18,3,5,10,3,0.3220
3,8,3,1,4,20,0.2633
1,33,16,15,2,6,0.5400
1,16,11,0,5,5,0.2773
1,21,9,12,0,2,0.3313
3,27,16,5,6,0,0.4120
1,32,11,14,7,19,0.6307
2,19,7,7,5,4,0.3267
2,18,4,9,5,2,0.3033
3,23,13,8,2,9,0.4060
1,15,5,7,3,8,0.2893
3,38,16,14,8,14,0.6853
2,28,14,14,0,1,0.4267
1,30,11,14,5,1,0.4747
2,17,15,1,1,13,0.3307
3,15,8,3,4,24,0.3920
2,19,10,6,3,28,0.4767
2,21,15,0,6,25,0.4847
2,28,14,4,10,19,0.5667
3,29,13,13,3,24,0.6040
3,27,10,7,10,17,0.5453
2,19,3,11,5,24,0.4680
3,36,17,15,4,27,0.7300
2,10,4,2,4,19,0.2867
3,22,15,1,6,18,0.4540
2,26,11,7,8,5,0.4433
1,32,9,14,9,14,0.6053
2,31,19,8,4,21,0.6060
3,14,7,1,6,9,0.2820
1,12,3,4,5,4,0.2227
1,20,10,1,9,4,0.3447
3,23,6,15,2,25,0.5267
2,31,18,6,7,23,0.6273
2,19,11,2,6,17,0.4073
2,22,8,12,2,18,0.4600
2,11,1,10,0,15,0.2740
2,29,13,6,10,11,0.5313
2,22,14,8,0,20,0.4573
2,29,15,4,10,15,0.5540
3,21,2,14,5,8,0.3953
1,29,16,7,6,22,0.5907
1,26,13,3,10,10,0.4767
2,34,16,12,6,2,0.5373
1,36,20,13,3,29,0.7353
2,20,10,0,10,3,0.3400
3,22,14,2,6,7,0.3827
3,16,12,3,1,28,0.4207
1,28,13,6,9,15,0.5400
1,16,6,4,6,21,0.3960
2,33,14,15,4,18,0.6280
3,10,2,7,1,4,0.1847
2,20,10,10,0,25,0.4667
1,8,0,2,6,6,0.1800
1,18,7,11,0,1,0.2807
2,18,8,2,8,2,0.3013
2,32,20,4,8,5,0.5213
3,34,20,9,5,1,0.5207
3,31,20,3,8,2,0.4853
3,12,4,1,7,15,0.2980
1,30,12,15,3,10,0.5287
1,0,0,0,0,8,0.0533
3,32,19,11,2,20,0.6113
2,15,6,5,4,29,0.4293
2,5,3,2,0,23,0.2273
2,31,17,5,9,3,0.5000
1,37,16,15,6,0,0.5720
2,32,18,4,10,7,0.5427
2,36,13,14,9,25,0.7347
3,13,10,2,1,27,0.3700
2,29,17,10,2,17,0.5473
2,18,5,7,6,3,0.3100
1,22,4,12,6,19,0.4827
3,24,12,7,5,3,0.3900
1,25,20,0,5,28,0.5567
2,20,15,1,4,17,0.4113
3,31,6,15,10,20,0.6373
1,24,9,12,3,12,0.4520
1,28,13,6,9,0,0.4400
1,22,18,1,3,26,0.4953
2,19,7,5,7,6,0.3440
3,27,11,8,8,25,0.5927
3,29,12,7,10,24,0.6200
1,26,16,2,8,19,0.5267
1,15,0,8,7,0,0.2540
2,9,3,6,0,11,0.2113
1,20,4,9,7,17,0.4393
1,23,13,8,2,0,0.3460
3,34,16,10,8,0,0.5280
1,16,6,4,6,11,0.3293
3,33,17,10,6,19,0.6327
3,22,6,6,10,3,0.3800
1,33,8,15,10,25,0.6987
3,25,7,12,6,24,0.5580
2,10,0,9,1,20,0.2953
3,11,3,0,8,0,0.1860
1,23,0,13,10,6,0.4280
2,29,19,2,8,13,0.5287
3,35,14,15,6,27,0.7240
3,5,3,0,2,6,0.1180
1,10,5,4,1,30,0.3520
3,10,4,3,3,26,0.3313
2,26,6,13,7,14,0.5113
2,23,14,6,3,5,0.3793
2,15,4,1,10,20,0.3853
1,16,1,6,9,1,0.2787
2,26,17,2,7,11,0.4693
1,23,12,4,7,26,0.5313
1,25,8,10,7,15,0.4980
3,22,10,2,10,19,0.4787
1,15,3,5,7,0,0.2480
2,35,19,8,8,29,0.7313
2,38,19,15,4,4,0.6047
3,31,6,15,10,12,0.5840
1,29,16,9,4,29,0.6333
2,25,9,6,10,10,0.4687
2,33,18,10,5,30,0.7020
1,28,12,13,3,22,0.5767
3,32,20,8,4,28,0.6667
3,13,3,6,4,13,0.2967
2,24,3,15,6,20,0.5233
2,27,10,10,7,18,0.5460
3,17,13,3,1,5,0.2813
3,21,9,12,0,21,0.4580
2,28,19,0,9,4,0.4547
2,13,4,1,8,28,0.4027
2,17,1,12,4,19,0.4047
2,24,2,15,7,19,0.5207
1,23,4,12,7,7,0.4207
1,26,11,12,3,18,0.5200
2,32,17,12,3,28,0.6707
3,37,20,15,2,20,0.6893
3,35,14,13,8,5,0.5813
3,34,12,13,9,8,0.5913
3,25,13,9,3,13,0.4667
3,10,3,6,1,20,0.2893
1,29,19,4,6,6,0.4780
1,21,3,11,7,10,0.4107
3,32,15,10,7,11,0.5693
1,18,6,5,7,30,0.4900
3,38,17,15,6,12,0.6660
3,17,15,1,1,22,0.3907
2,23,14,0,9,15,0.4580
2,30,20,9,1,29,0.6353
1,30,10,10,10,30,0.6800
1,26,4,14,8,18,0.5440
2,27,11,15,1,11,0.4853
1,32,10,14,8,9,0.5680
3,2,0,0,2,10,0.1027
1,20,6,5,9,14,0.4193
2,16,1,6,9,27,0.4520
3,25,16,1,8,21,0.5240
3,20,10,4,6,23,0.4653
1,29,15,11,3,26,0.6133
1,28,15,12,1,10,0.4867
2,19,17,1,1,19,0.3987
2,40,16,14,10,8,0.6813
1,15,5,9,1,9,0.2920
3,31,16,14,1,30,0.6660
1,16,4,4,8,20,0.3973
3,26,11,10,5,24,0.5640
2,15,2,3,10,23,0.4093
3,33,17,12,4,13,0.5887
1,3,0,3,0,26,0.2213
1,9,2,7,0,7,0.1867
1,23,6,9,8,7,0.4187
3,19,14,4,1,22,0.4247
2,21,1,13,7,8,0.4013
2,22,13,7,2,20,0.4633
2,20,9,5,6,12,0.3940
3,18,6,5,7,30,0.4900
3,28,14,6,8,1,0.4427
1,15,0,13,2,14,0.3373
3,17,8,1,8,13,0.3587
2,24,10,8,6,30,0.5760
3,30,18,2,10,18,0.5840
1,16,11,4,1,23,0.3893
2,34,18,11,5,20,0.6513
3,18,8,4,6,4,0.3107
1,14,9,3,2,16,0.3167
1,19,17,1,1,30,0.4720
2,28,16,12,0,8,0.4693
2,14,2,9,3,14,0.3193
2,22,16,6,0,20,0.4533
1,19,2,15,2,19,0.4307
1,28,11,15,2,15,0.5300
3,31,20,4,7,17,0.5833
3,24,13,10,1,3,0.3800
2,18,9,7,2,6,0.3140
1,27,19,0,8,9,0.4700
2,19,5,13,1,16,0.4027
1,24,4,10,10,5,0.4293
2,24,17,5,2,27,0.5340
3,24,12,6,6,18,0.4920
1,29,14,6,9,16,0.5607
2,32,17,7,8,5,0.5273
2,25,10,14,1,29,0.5753
2,24,6,13,5,22,0.5287
1,17,2,14,1,23,0.4233
2,36,13,13,10,9,0.6300
1,16,10,5,1,21,0.3780
1,21,5,7,9,13,0.4307
3,23,16,0,7,17,0.4633
2,19,2,14,3,14,0.3993
2,26,11,8,7,22,0.5547
1,6,1,4,1,5,0.1293
3,38,20,10,8,26,0.7573
3,27,11,13,3,24,0.5760
1,23,14,6,3,16,0.4527
2,14,5,6,3,25,0.3867
1,23,13,1,9,1,0.3667
2,27,13,11,3,1,0.4187
1,31,11,10,10,10,0.5607
1,31,7,15,9,26,0.6733
2,22,6,11,5,9,0.4100
3,24,15,2,7,16,0.4747
3,6,2,1,3,22,0.2447
3,38,16,14,8,6,0.6320
1,25,13,5,7,11,0.4613
2,29,14,9,6,12,0.5280
3,29,15,4,10,3,0.4740
1,32,13,15,4,23,0.6473
2,7,5,0,2,29,0.2993
2,28,17,11,0,6,0.4540
3,18,15,3,0,9,0.3180
2,41,20,15,6,25,0.7947
2,10,4,2,4,25,0.3267
3,33,15,11,7,29,0.7053
1,23,11,3,9,18,0.4840
1,25,13,4,8,15,0.4900
1,23,2,14,7,13,0.4647
3,15,15,0,0,10,0.2767
2,22,6,15,1,24,0.5020
3,36,15,11,10,9,0.6260
3,25,1,14,10,2,0.4313
2,14,2,5,7,14,0.3273
3,25,12,5,8,30,0.5920
2,42,17,15,10,2,0.6713
3,27,15,2,10,9,0.4820
2,22,13,9,0,19,0.4527
3,33,16,7,10,13,0.6027
3,30,20,8,2,26,0.6173
1,21,9,11,1,7,0.3667
1,15,14,1,0,13,0.2987
1,10,6,1,3,30,0.3540
2,19,14,4,1,11,0.3513
2,6,2,2,2,11,0.1693
3,31,16,6,9,4,0.5087
3,29,9,10,10,28,0.6527
2,19,9,1,9,8,0.3573
1,23,5,8,10,6,0.4180
1,21,12,0,9,2,0.3433
2,28,14,13,1,12,0.5020
3,25,11,11,3,5,0.4173
2,13,4,3,6,25,0.3787
1,26,9,13,4,13,0.4927
3,23,14,5,4,25,0.5147
3,27,14,7,6,18,0.5360
3,19,12,2,5,9,0.3500
3,12,0,9,3,18,0.3180
2,23,9,13,1,24,0.5120
3,32,9,15,8,5,0.5433
1,28,10,8,10,30,0.6480
2,22,9,10,3,5,0.3733
1,31,16,10,5,12,0.5540
1,28,12,14,2,15,0.5280
2,17,2,15,0,11,0.3413
2,16,14,2,0,0,0.2280
2,7,4,0,3,18,0.2300
3,16,6,7,3,2,0.2633
3,39,19,13,7,9,0.6600
2,10,6,4,0,27,0.3280
2,35,19,7,9,12,0.6200
2,23,13,4,6,30,0.5540
1,18,9,9,0,12,0.3500
1,11,5,2,4,15,0.2740
3,26,11,9,6,5,0.4393
3,15,0,10,5,24,0.4100
2,23,18,1,4,22,0.4867
1,30,17,10,3,21,0.5920
2,18,17,0,1,22,0.4027
2,33,18,14,1,16,0.6007
2,12,6,1,5,28,0.3767
2,22,9,12,1,21,0.4760
1,14,4,4,6,23,0.3813
1,18,2,11,5,26,0.4673
1,39,18,12,9,24,0.7660
3,39,19,13,7,27,0.7800
1,26,12,5,9,1,0.4167
2,29,13,8,8,15,0.5540
3,28,6,13,9,22,0.6007
1,30,11,12,7,0,0.4720
2,20,14,5,1,23,0.4473
1,19,2,12,5,18,0.4300
1,23,9,10,4,9,0.4180
3,25,13,3,9,17,0.5053
1,8,0,4,4,15,0.2360
2,28,17,3,8,26,0.6033
1,19,4,12,3,0,0.3020
3,12,2,7,3,22,0.3407
3,16,3,9,4,23,0.4113
1,24,16,8,0,14,0.4453
1,17,14,1,2,18,0.3680
3,30,13,14,3,16,0.5667
2,20,10,10,0,23,0.4533
3,33,13,10,10,12,0.6020
1,19,6,5,8,20,0.4413
3,22,17,3,2,23,0.4753
1,25,11,5,9,28,0.5827
3,26,18,0,8,23,0.5493
3,24,12,3,9,24,0.5380
2,16,0,13,3,12,0.3420
1,21,8,10,3,0,0.3260
2,25,12,10,3,16,0.4887
2,20,15,5,0,30,0.4900
1,39,18,13,8,21,0.7440
2,19,12,2,5,18,0.4100
3,24,11,13,0,24,0.5220
1,12,3,7,2,1,0.1967
3,21,4,7,10,13,0.4347
3,29,14,6,9,9,0.5140
1,15,2,5,8,1,0.2587
1,22,8,7,7,2,0.3633
3,21,7,4,10,9,0.4020
1,28,9,10,9,6,0.4880
1,29,11,15,3,29,0.6413
3,18,14,4,0,17,0.3733
2,25,20,3,2,27,0.5440
1,23,1,13,9,4,0.4107
3,23,2,12,9,25,0.5487
3,25,12,6,7,23,0.5433
3,11,4,7,0,1,0.1747
2,14,0,14,0,29,0.4173
1,12,2,10,0,26,0.3613
3,16,4,2,10,20,0.4013
1,13,0,10,3,15,0.3140
2,20,12,0,8,18,0.4320
1,19,2,12,5,8,0.3633
2,37,17,12,8,20,0.7073
2,28,13,12,3,8,0.4813
3,12,2,10,0,9,0.2480
1,27,20,0,7,18,0.5260
2,23,18,4,1,27,0.5140
3,18,10,8,0,23,0.4213
1,30,18,7,5,13,0.5407
3,24,17,2,5,11,0.4333
2,13,6,0,7,18,0.3300
2,31,19,6,6,2,0.4833
2,21,14,6,1,28,0.4967
2,31,20,9,2,15,0.5600
1,38,17,12,9,12,0.6720
2,13,1,9,3,2,0.2253
3,29,20,5,4,7,0.4787
1,27,19,4,4,25,0.5687
3,12,2,4,6,21,0.3400
2,14,3,10,1,15,0.3200
1,36,19,8,9,27,0.7360
1,18,10,1,7,14,0.3753
1,12,9,3,0,24,0.3340
1,29,7,12,10,4,0.4967
2,30,10,15,5,8,0.5233
1,22,0,13,9,18,0.4900
1,19,13,5,1,4,0.3067
2,6,2,2,2,21,0.2360
1,24,7,12,5,13,0.4667
3,36,16,11,9,24,0.7220
3,32,19,3,10,17,0.6073
3,29,8,15,6,29,0.6533
2,28,7,12,9,18,0.5720
3,29,17,7,5,13,0.5267
3,22,7,14,1,1,0.3467
1,29,5,14,10,7,0.5207
3,21,6,7,8,19,0.4667
3,32,18,7,7,16,0.5967
1,18,14,1,3,25,0.4327
3,27,15,2,10,26,0.5953
3,25,19,0,6,14,0.4673
1,27,14,13,0,3,0.4240
3,14,5,5,4,8,0.2753
1,13,1,6,6,26,0.3913
3,30,13,8,9,30,0.6720
1,28,19,3,6,10,0.4887
1,27,4,13,10,5,0.4773
3,40,20,11,9,5,0.6513
1,15,4,4,7,25,0.4127
1,28,14,5,9,17,0.5513
1,31,17,6,8,26,0.6513
2,21,9,3,9,1,0.3427
3,16,0,9,7,1,0.2767
3,9,1,1,7,14,0.2493
2,20,4,9,7,5,0.3593
1,13,7,0,6,8,0.2593
3,31,13,15,3,12,0.5560
2,33,19,8,6,12,0.5820
2,22,16,1,5,29,0.5233
3,32,20,10,2,28,0.6627
2,16,10,2,4,22,0.3907
2,14,12,2,0,19,0.3267
2,27,15,11,1,11,0.4773
2,25,16,5,4,24,0.5360
2,30,11,13,6,13,0.5567
1,18,2,13,3,6,0.3300
2,21,1,12,8,24,0.5100
2,28,16,10,2,3,0.4400
1,23,11,7,5,12,0.4360
3,20,15,0,5,9,0.3600
2,29,14,6,9,17,0.5673
3,9,0,7,2,1,0.1547
3,24,9,6,9,10,0.4507
3,29,13,11,5,14,0.5413
1,20,16,2,2,6,0.3320
2,40,18,15,7,28,0.8047
2,23,14,3,6,2,0.3653
2,27,18,7,2,10,0.4667
3,21,13,2,6,17,0.4353
3,30,11,15,4,20,0.5993
2,7,0,0,7,5,0.1593
1,10,4,3,3,14,0.2513
3,14,6,7,1,13,0.3007
3,5,1,4,0,21,0.2180
1,16,5,11,0,20,0.3793
3,11,2,6,3,30,0.3780
3,16,0,15,1,24,0.4180
2,19,2,14,3,4,0.3327
2,22,6,15,1,29,0.5353
3,25,18,2,5,23,0.5273
3,37,19,14,4,29,0.7553
1,22,18,3,1,5,0.3513
3,9,1,4,4,12,0.2300
2,22,4,9,9,0,0.3620
2,24,12,10,2,7,0.4107
2,35,15,15,5,5,0.5733
2,24,9,11,4,22,0.5207
1,19,9,3,7,1,0.3067
1,22,2,11,9,24,0.5260
1,24,11,13,0,18,0.4820
2,24,11,8,5,13,0.4587
2,12,0,6,6,25,0.3707
2,28,16,5,7,14,0.5233
1,13,2,11,0,23,0.3573
3,32,12,12,8,24,0.6640
2,15,6,5,4,21,0.3760
1,21,12,1,8,5,0.3613
2,23,11,4,8,15,0.4620
2,18,2,15,1,26,0.4593
2,36,13,15,8,18,0.6860
1,14,8,2,4,8,0.2693
3,20,18,1,1,19,0.4127
3,32,17,9,6,8,0.5433
3,20,8,4,8,21,0.4600
3,10,8,1,1,26,0.3193
1,17,8,7,2,25,0.4267
1,35,10,15,10,10,0.6267
1,10,5,0,5,28,0.3467
3,23,7,9,7,0,0.3680
1,21,14,6,1,2,0.3233
3,30,9,15,6,21,0.6140
2,21,11,3,7,2,0.3413
3,27,9,12,6,8,0.4793
2,30,18,2,10,29,0.6573
1,21,13,6,2,23,0.4673
2,14,4,3,7,7,0.2767
2,10,2,1,7,10,0.2367
1,32,20,11,1,27,0.6540
1,16,10,6,0,29,0.4293
1,16,4,11,1,15,0.3500
1,34,18,13,3,12,0.5940
1,20,7,11,2,3,0.3300
2,26,13,5,8,24,0.5660
2,19,10,8,1,29,0.4793
2,15,2,5,8,11,0.3253
2,19,11,5,3,27,0.4680
3,35,16,12,7,20,0.6753
1,24,2,13,9,9,0.4580
2,24,14,8,2,11,0.4333
3,16,3,10,3,2,0.2693
3,30,8,12,10,14,0.5773
2,21,0,15,6,29,0.5413
2,30,20,6,4,25,0.6147
2,30,13,8,9,30,0.6720
2,33,17,7,9,23,0.6653
1,21,14,6,1,22,0.4567
1,27,15,9,3,8,0.4613
3,20,7,4,9,25,0.4907
3,14,4,5,5,4,0.2527
2,16,7,0,9,29,0.4533
2,17,14,2,1,9,0.3060
3,26,18,5,3,6,0.4260
1,15,7,3,5,6,0.2760
2,35,19,15,1,24,0.6840
1,16,4,11,1,6,0.2900
1,19,4,13,2,0,0.3000
3,17,4,8,5,24,0.4340
1,23,15,7,1,3,0.3600
2,20,13,7,0,30,0.4940
1,22,14,1,7,11,0.4113
3,22,18,2,2,3,0.3400
3,25,4,15,6,25,0.5707
3,39,19,14,6,21,0.7380
3,18,14,4,0,27,0.4400
3,14,10,4,0,6,0.2440
1,38,16,12,10,25,0.7627
2,10,3,6,1,10,0.2227
1,21,2,11,8,5,0.3813
2,30,18,4,8,16,0.5667
3,26,13,6,7,14,0.4973
1,8,0,5,3,28,0.3207
1,23,6,7,10,6,0.4160
3,18,2,6,10,4,0.3307
2,20,1,11,8,4,0.3607
2,25,10,6,9,11,0.4713
2,10,5,5,0,5,0.1833
2,10,0,8,2,3,0.1840
2,24,19,1,4,24,0.5140
1,24,16,3,5,5,0.3953
2,25,10,15,0,0,0.3800
3,23,6,12,5,22,0.5127
2,12,4,6,2,10,0.2547
1,16,4,5,7,28,0.4487
2,30,12,9,9,3,0.4940
2,25,8,10,7,27,0.5780
1,17,15,1,1,10,0.3107
2,20,0,14,6,17,0.4453
3,24,12,11,1,4,0.3887
1,19,7,11,1,25,0.4587
2,24,16,4,4,17,0.4733
2,25,9,6,10,8,0.4553
1,16,5,2,9,23,0.4173
1,21,6,12,3,30,0.5300
2,35,20,14,1,17,0.6353
